Name,Gender,Age,Class,Nationality,Survived,lifeboat,Profession,Remarks,Death,Age of Death,,
"Wheat, Mr. Joseph Thomas",male,30,victualling crew,England,yes,11,assistant second steward,,,,,
"Wheelton, Mr. Edneser Edward",male,29,victualling crew,England,yes,11,1st class saloon steward,,,,,
"Witter, Mr. James William Cheetham",male,31,victualling crew,England,yes,11,2nd class smoke room steward ,,,,,
"Hardwick, Mr. Reginald",male,21,victualling crew,England,yes,11,kitchen porter,,,,,
"Savage, Mr. Charles Joseph",male,23,victualling crew,England,yes,11,saloon steward,,,,,
"Thomas, Mr. Albert Charles",male,23,victualling crew,England,yes,15/9/14?,helped to board first class and some second class passengers as a first class steward. most likely boat 9 or 11.  when in doubt put him on boat 9 because there have been more first class stewards recorded,9/11,1st class saloon steward,,,
"Prior, Mr. Harold John Arnold",male,21,victualling crew,England,yes,11/13?,13 could be more likely as many crew were on that boat ,11/13,3rd class steward,,,
"Rosenbaum, Miss. Edith Louise",female,33,1st,France,yes,11,"American fashion buyer, stylist and correspondent for Women's Wear Daily",had a musical toy pig with her and entertained the kids,,,,
"Schabert, Mrs. Emma",female,35,1st,Germany,yes,11,,,,,,
"Becker, Master. Richard F.",male,1,2nd,India,yes,11,,,,,,
"Del Carlo, Mrs. Argene",female,24,2nd,Italy,yes,11,,pregnant during sinking,,,,
"Portaluppi, Mr. Emilio Ilario Giuseppe",male,30,2nd,Italy,yes,14/4?,"one italian sits in boat 11 and one in boat 15,  but 2nd class was more likely to be saved by boat 11 which was really packed as well tho. when in doubt, put him in boat 11. ",11/15,,"apparently jumped into a lifeboat but missed, later picked up by boat 14 or was rescued safely on board 4 or 14",,
"Harper, Miss. Annie Jessie",female,6,2nd,Scotland,yes,11,,,,,,
"Leitch, Miss. Jessie Wills",female,31,2nd,Scotland,yes,11,,,,,,
"Bliss, Mrs. Emma",female,45,victualling crew,Switzerland,yes,15/13?,it does not clearly state that she got on boat 15. second class stewardesses were not saved on boat 15 as there are mostly men from the crew aboard. barely any women. most stewardesses were saved on boat 11. ,11,second-class stewardess,,,
"Abelson, Mrs. Hannah",female,28,2nd,Ukraine,yes,10?,"was apparently quite far away as it sank, boat 10 was quite close during sinking, presence of Charles Williams suggests she was standing at starboard side, 10 left from port",11,dressmaker,"lucky steamer rug, seasick during most of the journey, dressed in pijamas, took a steamer rug with her on every ocean voyages there after standing on deck wrapped in it nd tended to by stewards who brought her coffee and sandwiches. Each morning she would return to the cabin to bathe and sleep, the steamer rug accompanied her brother in law in WW1",18 January 1972,88
"Silvey, Mrs. Alice Gray",female,39,1st,United States,yes,11,,,,,,
"Mock, Mr. Philipp Edmund",male,30,1st,United States,yes,11,,,,,,
"Becker, Mrs. Nellie E.",female,35,2nd,United States,yes,11,,,,,,
"Jerwan, Mrs. Marie Marthe",female,23,2nd,United States,yes,11,,,,,,
"Nye, Mrs. Elizabeth",female,29,2nd,United States,yes,11,,,,,,
"Cribb, Miss. Laura Mae",female,16,3rd,United States,yes,11,,,,,,
"Hansen, Mrs. Jennie Louise",female,45,3rd,United States,yes,11,,,,,,
,,,,,,61,,,,,,
,,,,,Total at Launch,58-80,close around 60 more likely,,,,,
,,,,,some accounts suggest 72 and others 80,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Analysis ,,,,,,,,,,,,
Total Occupancy ,61,,,,,,,,,,,
Launch Location,starboard,,,,,,,,,,,
Launch Time,01:37,,,,,,,,,,,
Rescue Time (Carpathia),07:00,,,,,,,,,,,
Lifeboat Material,standard wooden,,,,,,,,,,,
Crew,30,,,,,,,,,,,
Female Crew,12,,,,,,,,,,,
First Class,6,,,,,,,,,,,
Second Class,18,,,,,,,,,,,
Third Class,7,,,,,,,,,,,
England,39,,,,,,,,,,,
USA,7,,,,,,,,,,,
Switzerland,1,,,,,,,,,,,
Ukraine,1,,,,,,,,,,,
Scotland,2,,,,,,,,,,,
Italy,2,,,,,,,,,,,
India,1,,,,,,,,,,,
France,1,,,,,,,,,,,
Germany,1,,,,,,,,,,,
Belarus,1,,,,,,,,,,,
Canada,1,,,,,,,,,,,
Belgium,3,,,,,,,,,,,
Channel Islands,1,,,,,,,,,,,
Average Age,"30,05172414",,,,,,,,,,,
Max Age,53,,,,,,,,,,,
Min Age,10 Months,,,,,,,,,,,
Male ,26,,,,,,,,,,,
Female,35,,,,,,,,,,,
