Name,Gender,Age,Class,Nationality,Survived,lifeboat,Profession,Remarks,Death,Age of Death
"Sandström, Mrs. Agnes Charlotta",female,24,3rd,Sweden,yes,13,,,,
"Asplund, Mr. Johan Charles",male,23,3rd,Sweden,yes,13,,,,
"Karlsson, Mr. Einar Gervasius",male,21,3rd,Sweden,yes,13,,,,
"Tenglin, Mr. Gunnar Isidor",male,25,3rd,Sweden,yes,13,,,,
"Caldwell, Master. Alden Gates",male,0.10,2nd,Thailand,yes,13,,,,
"Caldwell, Mr. Albert Francis",male,26,2nd,Thailand,yes,13,,,,
"Dodge, Dr. Washington",male,52,1st,United States,yes,13,,commited suicide 7 years later,30 June 1919,60
"Caldwell, Mrs. Sylvia Mae",female,28,2nd,United States,yes,13,,,,
"Dowdell, Miss. Elizabeth",female,31,3rd,United States,yes,13,,,,
"Emanuel, Miss. Virginia Ethel",female,5,3rd,United States,yes,13,,,,
"McGowan, Miss. Anna Louise",female,17,3rd,United States,yes,13,,,,
"Foley, Mr. Wilfred Cyril",male,22,victualling crew,Wales,yes,13,,,,
,,,,,,,,,,
,,,,,,68,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Analysis (After Transfer),,,,,,,,,,
Total Occupancy ,68,,,,,,,,,
Launch Location,starboard,,,,,,,,,
Launch Time,01:43,15 immediately afterwards and nearly crushed boat 13,,,,,,,,
Rescue Time (Carpathia),06:30,,,,,,,,,
Lifeboat Material,standard wooden,,,,,,,,,
Crew,28,,,,,,,,,
First Class,1,,,,,,,,,
Second Class,14,,,,,,,,,
Third Class,25,,,,,,,,,
England,33,,,,,,,,,
USA,5,,,,,,,,,
Sweden,10,,,,,,,,,
Belgium,1,,,,,,,,,
Norway,3,,,,,,,,,
Ireland,6,,,,,,,,,
Thailand,2,,,,,,,,,
India,2,,,,,,,,,
Canada,1,,,,,,,,,
Channel Islands,1,,,,,,,,,
China,1,,,,,,,,,
Wales,1,,,,,,,,,
Croatia,1,,,,,,,,,
Northern Ireland,1,,,,,,,,,
Average Age,"26,86567164",,,,,,,,,
Max Age,61,,,,,,,,,
Min Age,10 months,,,,,,,,,
Male ,41,,,,,,,,,
Female,27,,,,,,,,,
